section,reseau,type_verre,priorite,nom_verre,matiere,traitement,prix,photochromique_possible,supplement_photochromique,reference_affichee,prix_versailles,prix_lvdb,prix_autres
forfait,,progressifs_solaire,4,Prog Generique,Orma,Polar HC,45,non,,Prog Generique 1.5 Polar HC,,,
forfait,,unifocaux_solaire,1,Unifocal Generique,Orma,CZ Sun XP,65,non,,Orma Sun XpPolar Cz SunXP,,,
forfait,,unifocaux_solaire,1,Unifocal Generique,Orma,XP Supra,49,non,,Orma Sun XpPolar Supra,,,
forfait,,unifocaux_solaire,2,Unifocal Generique,Orma,Polar HMC FA,35,non,,Unifocal Generique 1.5 Polar HMC FA,,,
forfait,,unifocaux_solaire,2,Unifocal Generique,Orma,Polar HC,25,non,,Unifocal Generique 1.5 Polar HC,,,
forfait,,unifocaux_solaire,3,Stellest,Airwear,CZ Sun XP,"59,5",non,,Stellest Airwear Sun Cz Sun XP,,,
reseaux,carte_blanche,progressifs,1,Varilux XR Pro,Ormix,CZ Sapph,444,oui,62,Varilux XR pro Ormix EPS Cz Sapph,,,
reseaux,carte_blanche,progressifs,1,Varilux XR Pro,Ormix,CZ Prev,444,oui,62,Varilux XR pro Ormix EPS Cz F Prev,,,
reseaux,carte_blanche,progressifs,2,Varilux Physio 3D,Ormix,CZ Sapph,327,oui,59,Varilux Physio 3D Bd Ormix EPS Cz Sapph,,,
reseaux,carte_blanche,progressifs,2,Varilux Physio 3D,Ormix,CZ Prev,325,oui,59,Varilux Physio 3D Bd Ormix EPS Cz F Prev,,,
reseaux,carte_blanche,progressifs,3,Varilux Cft Max,Ormix,CZ Sapph,286,oui,59,Varilux Cft Max Fit Ormix EPS Cz Sapph,,,
reseaux,carte_blanche,progressifs,3,Varilux Cft Max,Ormix,CZ Prev,284,oui,59,Varilux Cft Max Fit Ormix EPS Cz F Prev,,,
reseaux,carte_blanche,progressifs,4,Essilor Inizio,Ormix,CZ Sapph,188,oui,64,Essilor Inizio Ormix BUC Cz Sapph,,,
reseaux,carte_blanche,progressifs,4,Essilor Inizio,Ormix,CZ Prev,186,oui,64,Essilor Inizio Ormix BUC Cz F Prev,,,
reseaux,carte_blanche,unifocaux,1,Essilor Advans,Ormix,CZ Sapph,146,oui,34,Essilor Advans Fit Ormix EPS Cz Sapph,,,
reseaux,carte_blanche,unifocaux,1,Essilor Advans,Ormix,CZ Prev,144,oui,34,Essilor Advans Fit Ormix EPS Cz F Prev,,,
reseaux,carte_blanche,unifocaux,2,Eyezen,Ormix,CZ Sapph,118,oui,34,Eyezen Boost 0.6 Fit Ormix EPS Cz Sapph,,,
reseaux,carte_blanche,unifocaux,2,Eyezen,Ormix,CZ Prev,113,oui,34,Eyezen Boost 0.6 Fit Ormix EPS Cz F Prev,,,
reseaux,carte_blanche,unifocaux,3,Eyezen,Ormix,CZ Sapph,112,oui,39,Eyezen Start Fit Ormix EPS Cz Sapph,,,
reseaux,carte_blanche,unifocaux,3,Eyezen,Ormix,CZ Prev,110,oui,39,Eyezen Start Fit Ormix EPS Cz F Prev,,,
reseaux,carte_blanche,unifocaux,4,Eyezen Kids,Orma,CZ Sapph,96,oui,40,Eyezen Kids Orma Cz Sapph,,,
reseaux,carte_blanche,unifocaux,4,Eyezen Kids,Orma,CZ Prev,96,oui,40,Eyezen Kids Orma Cz F Prev,,,
reseaux,carte_blanche,unifocaux,5,Unifocal Generique,Orma,CZ Sapph,98,oui,38,Orma Cz Sapph,,,
reseaux,carte_blanche,unifocaux,5,Unifocal Generique,Orma,CZ Prev,99,oui,38,Orma Cz F Prev,,,
